"MacroTrends Data Download"
"MSFT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1986-03-13,0.0577,0.0662,0.0577,0.0633,1031788800
1986-03-14,0.0633,0.0667,0.0633,0.0656,308160000
1986-03-17,0.0656,0.0673,0.0656,0.0667,133171200
1986-03-18,0.0667,0.0673,0.0645,0.0650,67766400
1986-03-19,0.0650,0.0656,0.0633,0.0639,47894400
1986-03-20,0.0639,0.0639,0.0616,0.0622,58435200
1986-03-21,0.0622,0.0633,0.0594,0.0605,59990400
1986-03-24,0.0605,0.0605,0.0583,0.0588,65289600
1986-03-25,0.0588,0.0600,0.0583,0.0600,32083200
1986-03-26,0.0600,0.0622,0.0594,0.0616,22752000
1986-03-27,0.0616,0.0628,0.0616,0.0628,16848000
1986-03-31,0.0628,0.0628,0.0611,0.0622,12873600
1986-04-01,0.0622,0.0622,0.0616,0.0616,11088000
1986-04-02,0.0616,0.0633,0.0616,0.0622,27014400
1986-04-03,0.0628,0.0645,0.0628,0.0628,23040000
1986-04-04,0.0628,0.0633,0.0628,0.0628,26582400
1986-04-07,0.0628,0.0633,0.0605,0.0616,16560000
1986-04-08,0.0616,0.0633,0.0616,0.0622,10252800
1986-04-09,0.0622,0.0639,0.0622,0.0633,12153600
1986-04-10,0.0633,0.0645,0.0622,0.0639,13881600
1986-04-11,0.0645,0.0662,0.0645,0.0650,17222400
1986-04-14,0.0650,0.0662,0.0650,0.0656,12153600
1986-04-15,0.0656,0.0656,0.0633,0.0656,9302400
1986-04-16,0.0656,0.0684,0.0650,0.0679,31910400
1986-04-17,0.0679,0.0684,0.0679,0.0684,22003200
1986-04-18,0.0684,0.0684,0.0656,0.0662,21628800
1986-04-21,0.0662,0.0667,0.0645,0.0662,22924800
1986-04-22,0.0662,0.0662,0.0650,0.0650,15552000
1986-04-23,0.0650,0.0656,0.0645,0.0653,15609600
1986-04-24,0.0653,0.0730,0.0650,0.0718,62352000
1986-04-25,0.0724,0.0795,0.0724,0.0764,85795200
1986-04-28,0.0764,0.0775,0.0758,0.0769,28886400
1986-04-29,0.0769,0.0769,0.0741,0.0747,30326400
1986-04-30,0.0747,0.0752,0.0713,0.0730,30902400
1986-05-01,0.0730,0.0730,0.0707,0.0718,54345600
1986-05-02,0.0718,0.0730,0.0713,0.0718,20246400
1986-05-05,0.0718,0.0718,0.0713,0.0713,3254400
1986-05-06,0.0718,0.0730,0.0718,0.0718,9734400
1986-05-07,0.0718,0.0724,0.0707,0.0718,5155200
1986-05-08,0.0718,0.0724,0.0713,0.0724,3542400
1986-05-09,0.0724,0.0724,0.0718,0.0718,6076800
1986-05-12,0.0718,0.0741,0.0718,0.0724,10483200
1986-05-13,0.0724,0.0735,0.0724,0.0730,3830400
1986-05-14,0.0730,0.0730,0.0724,0.0724,9302400
1986-05-15,0.0724,0.0735,0.0724,0.0724,3801600
1986-05-16,0.0724,0.0747,0.0724,0.0730,11952000
1986-05-19,0.0730,0.0730,0.0713,0.0718,11001600
